"Area";"Records";"Observed.richness";"Richness";"Slope";"Completeness";"Ratio"
"Sechura desert";154;75;132,538456213129;0,36363636363636;56,5873499231014;2,05333333333333
"Marañón dry forests";434;360;1126,2606109732;0,684331797235018;31,9641827559718;1,20555555555556
"Atlantic Coast restingas";33;33;NA;NA;NA;1
"Mato Grosso seasonal forests";73;45;73,6543959399482;0,424657534246577;61,0961496944315;1,62222222222222
"Peruvian Yungas";227;165;348,144953056659;0,541850220264308;47,3940519749965;1,37575757575758
"Pernambuco interior forests";30;30;NA;NA;NA;1
"Mato Grosso seasonal forests";962;593;1135,34222974162;0,47089397089394;52,2309471510591;1,62225969645868
"Iquitos varzeá";15;13;NA;NA;NA;1,15384615384615
"Cordillera Central páramo";38;38;NA;NA;NA;1
"Iquitos varzeá";4;4;NA;NA;NA;1
"Atlantic dry forests";2;1;NA;NA;NA;2
"Pernambuco coastal forests";497;252;323,132606853654;0,265593561368206;77,9865586620078;1,97222222222222
"Cordillera Central páramo";10;10;NA;NA;NA;1
"Central Andean wet puna";79;57;119,386850044321;0,506329113924046;47,7439516821489;1,3859649122807
"Ucayali moist forests";599;518;2167,51142399627;0,762938230383952;23,8983746182502;1,15637065637066
"Iquitos varzeá";10;10;NA;NA;NA;1
"Peruvian Yungas";2389;1086;1379,65151577462;0,24696525743002;78,7155297974109;2,19981583793738
"Atlantic dry forests";55;32;75,8513816871807;0,454545454545453;42,187761499153;1,71875
"Cerrado";3;2;NA;NA;NA;1,5
"Mato Grosso seasonal forests";4;4;NA;NA;NA;1
"Pernambuco interior forests";72;51;93,2795093407748;0,416666666666664;54,6743870764623;1,41176470588235
"Beni savanna";107;62;125,802529814899;0,44859813084112;49,2835876124464;1,7258064516129
"Bahia interior forests";29;29;NA;NA;NA;1
"Bahia interior forests";7789;1794;1823,17767333846;0,0531518808577403;98,3996253483605;4,34169453734671
"Bahia coastal forests";4557;1220;1255,99053621311;0,0897520298442487;97,1344898567771;3,73524590163934
"Chiquitano dry forests";646;287;365,166370730555;0,252321981424132;78,594312895195;2,25087108013937
"Central Andean wet puna";744;480;826,017879141885;0,439516129032256;58,1101223255182;1,55
"Central Andean puna";28;10;NA;NA;NA;2,8
"Bolivian Yungas";6601;1882;1956,82648859413;0,0612028480534264;96,1761306365037;3,50743889479277
"Central Andean wet puna";21;21;NA;NA;NA;1
"Cerrado";43;41;433,430277122621;0,906976744186046;9,45942223330208;1,04878048780488
"Bahia interior forests";28;28;NA;NA;NA;1
"Pantanal";3;1;NA;NA;NA;3
"Bolivian montane dry forests";279;245;1021,90601539242;0,756272401433705;23,9748074979202;1,13877551020408
"Lake";8;5;NA;NA;NA;1,6
"Pantanal";181;87;124,109804538301;0,292817679558013;70,0992160318416;2,08045977011494
"Bolivian montane dry forests";45;45;NA;NA;NA;1
"Central Andean dry puna";98;17;56,5559618835707;0,153061224489797;30,058723136912;5,76470588235294
"Central Andean puna";303;167;286,45687962212;0,415841584158414;58,2984776697625;1,81437125748503
"Bolivian montane dry forests";278;129;159,908581526843;0,251798561151077;80,6710926757521;2,15503875968992
"Bahia interior forests";55;55;NA;NA;NA;1
"Cerrado";334;274;787,180524532088;0,64071856287427;34,8077717195645;1,21897810218978
"Southern Andean Yungas";343;110;115,863473957921;0,0991253644314867;94,9393249161072;3,11818181818182
"Alto Paraná Atlantic forests";499;315;516,218418593661;0,420841683366746;61,0206820706161;1,58412698412698
"Humid Chaco";821;153;155,438596571567;0,069427527405594;98,4311511906605;5,36601307189542
"Alto Paraná Atlantic forests";577;419;844,81902490495;0,507798960138643;49,5964209668623;1,37708830548926
"Serra do Mar coastal forests";10150;1850;1847,07776040666;0,0856157635469117;100,158208801816;5,48648648648649
"Alto Paraná Atlantic forests";113;113;NA;NA;NA;1
"Campos Rupestres montane savanna";472;389;1141,30083225397;0,648305084745743;34,0839145128597;1,2133676092545
"Southern Atlantic mangroves";648;648;NA;NA;NA;1
"Araucaria moist forests";5690;762;735,845958565166;0,0400702987698196;103,554282133428;7,46719160104987
"Southern Andean steppe";43;2;NA;NA;NA;21,5
"High Monte";119;39;43,444688104128;0,15126050420168;89,7693174975155;3,05128205128205
"Southern Andean Yungas";85;53;79,823719165529;0,305882352941175;66,3963049505308;1,60377358490566
"Paraná flooded savanna";60;30;38,1212550954357;0,216666666666669;78,6962546875639;2
"Central Andean puna";31;27;103,769373182389;0,741935483870968;26,0192378270839;1,14814814814815
"Southern Cone Mesopotamian savanna";62;41;66,5885499490196;0,41935483870968;61,5721472105786;1,51219512195122
"Uruguayan savanna";1174;255;265,921801205947;0,0971039182282709;95,8928522759633;4,60392156862745
"Alto Paraná Atlantic forests";698;261;290,371031950883;0,17048710601722;89,8849992874458;2,67432950191571
"Espinal";52;19;20,7309326066726;0,153846153846153;91,650483653999;2,73684210526316
"Atlantic Coast restingas";42;42;NA;NA;NA;1
"Southern Andean steppe";4;3;NA;NA;NA;1,33333333333333
"Espinal";185;66;116,854074247406;0,254054054054052;56,4807007586774;2,8030303030303
"Low Monte";141;8;10,3956059287113;0,0354609929078018;76,9555911878598;17,625
"Humid Pampas";149;8;16,4272783987298;0,0335570469798654;48,6994851235892;18,625
"Humid Pampas";12;3;NA;NA;NA;4
"Atlantic Coast restingas";5;5;NA;NA;NA;1
"Patagonian steppe";4;1;NA;NA;NA;4
"Sierra Madre Occidental pine-oak forests";60;44;93,9910455624716;0,550000000000004;46,8129700405931;1,36363636363636
"Japurá-Solimoes-Negro moist forests";720;281;330,305103111568;0,191666666666663;85,0728606227698;2,56227758007117
"Solimões-Japurá moist forests";778;254;281,413028152702;0,159383033419005;90,2587920919472;3,06299212598425
"Patía Valley dry forests";18;18;NA;NA;NA;1
"Sierra Madre Occidental pine-oak forests";233;87;103,500376244979;0,201716738197419;84,0576654466225;2,67816091954023
"Sonoran-Sinaloan transition subtropical dry forest";21;13;41,221650505149;0,476190476190476;31,5368255290413;1,61538461538462
"Sierra Madre Oriental pine-oak forests";1263;1176;12670,1686343939;0,904988123515523;9,28164441953582;1,07397959183673
"Sierra Madre Oriental pine-oak forests";21;21;NA;NA;NA;1
"Central Mexican matorral";24;24;NA;NA;NA;1
"Sierra Madre Oriental pine-oak forests";15;15;NA;NA;NA;1
"Sierra Madre Occidental pine-oak forests";9;9;NA;NA;NA;1
"Sierra Madre Occidental pine-oak forests";4;4;NA;NA;NA;1
"Sierra Madre Oriental pine-oak forests";151;123;341,848210970771;0,629139072847678;35,9808815879738;1,22764227642276
"Sierra Madre Occidental pine-oak forests";51;51;NA;NA;NA;1
"Sierra Madre Oriental pine-oak forests";62;62;NA;NA;NA;1
"Meseta Central matorral";21;21;NA;NA;NA;1
