"Longitude";"Latitude";"X";"Y"
-108,5;28,5;1,00057773110632;-0,0240396342114429
-109,1;28,3;-0,0418953109139945;0,0342084179892928
-108,3;28,1;0,199269893617349;-0,117340074274565
-108,9;26,9;1,01307704352435;0,0274801157839266
-77,1;26,5;1,43577253214341;0,0209315244825005
-107,7;25,9;1,13411500418056;0,0411441893793216
-107,4;25,6;0,461054670243945;0,00335618809220979
-100,4;25,3;-0,0147586036628763;-0,00780989017574603
-100,1;25,3;0,0973677963526201;-0,0848278750288413
-106,4;25,1;0,154499680174244;-0,0551255810872045
-100,1;24,9;0,530792007907162;-0,113244579197682
-77,9;24,9;0,931364430514467;-0,0269880864079184
-107,4;24,6;1,3272152902549;0,0322664976063956
-105,9;24,6;0,694197820969164;-0,122709205710052
-100,1;24,6;1,3272152902549;0,0322664976063956
-99,9;24,6;-0,1168149638195;-0,0500456481056274
-77,9;24,6;0,499877522030441;-0,00977862315888156
-99,9;24,1;-0,0971809302788464;0,0659050824447194
-99,5;24,1;1,75313852814938;-0,000926268309853227
-99,7;23,9;0,0908689493038428;-0,12847100561527
-99,4;23,9;0,889068696227696;0,0141280018420117
-106,7;23,6;1,12294820189907;0,0989920560519869
-105,9;23,6;0,330211155442441;-0,00396289464260789
-105,7;23,6;0,763253168930974;-0,14102374078024
-105,4;23,6;1,09671443415081;-0,0464415112703848
-99,7;23,6;1,3272152902549;0,0322664976063956
-106,4;23,3;-0,0341097764977823;0,0706342793707403
-105,9;23,3;1,16443780290676;-0,0269062120802523
-104,4;23,3;-0,161548634590772;-0,0871683119341412
-99,4;23,3;1,23264995742239;-0,00821751465989239
-98,1;23,3;1,48939991063706;-0,0238348066322111
-99,3;23,1;0,719057552825406;-0,0419417456832681
-99,1;23,1;0,122908606520704;-0,429586573057491
-82,4;23,1;1,43577253214341;0,0209315244825005
-81,7;23,1;1,28201980781733;0,0918372377008886
-104,7;22,9;1,04859541431544;0,0454109132840373
-99,4;22,9;0,686997339956394;0,0449242707399458
-83,1;22,9;0,429543026802348;-0,142423680893296
-82,9;22,9;1,17978628643676;0,11027779069452
-82,7;22,9;0,629271440176866;0,0158489434694357
-82,4;22,9;1,34152451076787;-0,0112279310987517
-81,4;22,9;1,3272152902549;0,0322664976063956
-104,4;22,6;0,821876966606718;0,0514469139914333
-100,4;22,6;0,785819798832045;-0,0401746176889543
-99,4;22,6;0,761114870058481;0,0153199845985176
-99,1;22,6;0,946223504021135;0,0493156134173922
-83,9;22,6;1,23423724113197;-0,0414492819716416
-83,7;22,6;0,776566270611046;-0,0546511431960797
-83,4;22,6;0,603049556578887;-0,0632631491752955
-83,1;22,7;0,301649438181995;-0,064263948155027
-79,9;22,6;0,530792007907162;-0,113244579197682
-104,7;22,3;0,654626658223009;-0,0759984283724316
-81,1;22,3;1,57858330985142;0,00855856856994517
-80,7;22,3;1,56319542560109;-0,0131140966767647
-100,7;22,1;0,564996909556763;-0,033680640333593
-99,1;22,1;1,13411500418056;0,0411441893793216
-98,9;22,1;1,34580659022046;-0,0426470212052363
-80,1;22,1;0,946223504021135;0,0493156134173922
-103,7;21,9;1,28201980781733;0,0918372377008886
-100,4;21,9;1,26851393131307;0,0333572089527698
-99,4;21,9;0,720258661830398;-0,0230073184374067
-84,5;21,9;1,3272152902549;0,0322664976063956
-80,3;21,9;0,829929639852191;0,0650836486168182
-80,1;21,9;0,306094307368656;0,0354093561396457
-79,7;21,9;0,671324775246621;-0,00510192362638826
-79,4;21,9;0,492116651307477;-0,0167862786855637
-105,3;21,5;0,244083326309035;-0,100646794683596
-105,1;21,6;0,315012165221371;-0,0665388488338651
-104,9;21,6;0,283240540426476;0,000162300781620735
-104,7;21,6;1,66804957158946;0,00280208380797451
-104,4;21,6;1,29003638634196;-0,0159984050235971
-102,7;21,7;1,11807591802793;-0,0195065026061119
-100,5;21,5;0,79470245990487;-0,102213923177673
-99,7;21,5;0,643911126370186;-0,0318623258307068
-99,4;21,6;0,188508875227251;0,00995887440555923
-99,1;21,6;0,226176074707975;-0,0431239965070515
-98,9;21,6;0,800763635313646;-0,0599691299758202
-98,4;21,6;0,712141919557212;-0,00956048898584625
-97,9;21,6;0,9767606194902;0,00266048849502706
-97,4;21,5;1,43577253214341;0,0209315244825005
-88,4;21,5;0,981402279067657;-0,0116158123112203
-88,1;21,6;0,31763289984389;-0,0813526526016594
-82,9;21,7;0,958388012963723;-0,0761704579817157
-79,1;21,7;1,63785098516767;-0,0256805873958632
-77,7;21,7;1,69292715565974;-0,0111233879348194
-105,1;21,3;1,04859541431544;0,0454109132840373
-104,9;21,3;0,625472553852736;0,0264629925688442
-104,4;21,3;1,00057773110632;-0,0240396342114429
-103,3;21,3;-0,225594401891013;0,0352739845796311
-100,1;21,3;0,46695292354208;0,0121766232618902
-99,7;21,3;0,50611533923857;-0,0205828394916873
-99,4;21,3;0,119247218732375;-0,0209150735577289
-99,1;21,3;-0,315325230326817;-0,00898605251372167
-98,9;21,3;1,22184404458509;0,0374316167291789
-98,7;21,3;0,852582297243507;0,0186085708907377
-97,9;21,3;0,913838888139964;-0,0405099450282669
-89,4;21,3;0,448106455668605;0,0249755840226037
-87,1;21,3;0,619619851001987;-0,0119384477910484
-104,4;21,1;0,56704454505112;0,0511245119236847
-103,1;21,1;0,10964687508741;-0,000156586940527847
-99,9;21,1;1,11173172385981;0,0791625955077387
-99,7;21,1;0,529918007629372;-0,0354213125117133
-99,4;21,1;0,146674938021886;-0,0123007202025849
-99,1;21,1;0,136231427793738;-0,010751332014262
